Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg)
15/12/2024,13:30:00,1001,LFPG,DAAG,0.189,4.82,0.241,8.526,1.2,0.0,0,0.43,0,price,price,2.076,ORN,8.096,734,1.333
10/12/2024,10:40:00,1074,DAAG,LFQQ,0.126,5.341,0.267,8.365,1.2,0.0,0,0.393,0,MaxLandingWeightReached,,1.431,CDG,7.972,896,1.218
21/12/2024,01:25:00,6232,DAAT,DAAJ,0.126,2.123,0.2,6.047,1.2,0.0,0,0.326,0,MaxLandingWeightReached,,2.398,TMR,5.721,270,1.011
15/11/2024,14:00:00,002,DTMB,LFPG,0.101,6.477,0.324,9.256,1.2,0.0,0,0.425,0,MaxLandingWeightReached,,1.154,ORY,8.831,1128,1.318
07/10/2024,16:40:00,2023,EDDL,DTTJ,0.201,7.487,0.374,10.835,1.2,0.0,0,0.575,0,MaxLandingWeightReached,,1.573,MIR,10.26,1175,1.783
29/10/2024,02:30:00,2210,DTMB,EDDP,0.113,6.957,0.348,12.811,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,1.293,BER,12.35,1044,1.429
24/05/2024,13:00:00,232,DTTA,EDDB,0.113,5.805,0.29,8.688,1.2,0.0,0,0.403,0,MaxLandingWeightReached,,1.28,DRS,8.285,982,1.249
24/04/2024,13:50:00,233,EDDB,DTTA,0.189,5.889,0.294,8.322,1.2,0.0,0,0.483,0,TankCapacityReached,,0.75,NBE,7.839,1012,1.497
29/08/2024,00:15:00,4529,LTAI,DTTA,0.189,7.068,0.353,9.654,1.2,0.0,0,0.542,0,MaxLandingWeightReached,,0.844,NBE,9.112,1104,1.68
15/11/2024,14:30:00,542,DTMB,LFPG,0.101,6.135,0.307,8.964,1.2,0.0,0,0.408,0,MaxLandingWeightReached,,1.221,ORY,8.556,965,1.265
26/08/2024,19:50:00,624,DTTA,LEMD,0.113,5.309,0.265,8.481,1.2,0.0,0,0.378,0,MaxLandingWeightReached,,1.594,VLC,8.103,780,1.172
28/04/2024,07:50:00,641,LTFM,DTTA,0.314,6.63,0.332,9.579,1.2,0.0,0,0.646,0,MaxLandingWeightReached,,1.103,NBE,8.933,1002,2.003
09/10/2024,13:45:00,713,LFST,DTTJ,0.088,5.875,0.294,8.439,1.2,0.0,0,0.382,0,MaxLandingWeightReached,,0.982,SFA,8.057,943,1.184
27/04/2024,14:30:00,757,LFQQ,DTTA,0.113,6.779,0.339,9.299,1.2,0.0,0,0.452,0,MaxLandingWeightReached,,0.868,NBE,8.847,1043,1.401
06/10/2024,16:55:00,763,LFQQ,DTTJ,0.113,7.373,0.369,10.647,1.2,0.0,0,0.482,0,MaxLandingWeightReached,,1.592,MIR,10.165,1150,1.494
08/12/2024,06:00:00,204,DTTA,EDDL,0.095,4.559,0.228,6.927,1.0,0.0,0,0.323,0,MaxLandingWeightReached,,1.045,CGN,6.604,935,1.001
25/12/2024,13:15:00,204,DTTA,EDDL,0.095,4.908,0.245,7.224,1.0,0.0,0,0.34,0,MaxLandingWeightReached,,0.976,CGN,6.884,1026,1.054
02/12/2024,07:30:00,232,DTTA,EDDB,0.158,4.841,0.242,7.605,1.0,0.0,0,0.4,0,MaxLandingWeightReached,,1.364,HAJ,7.205,996,1.24
23/12/2024,07:30:00,232,DTTA,EDDB,0.095,4.896,0.245,7.261,1.0,0.0,0,0.34,0,MaxLandingWeightReached,,1.025,DRS,6.921,1013,1.054
20/12/2024,13:15:00,2598,DTMB,EDDV,0.084,5.567,0.278,8.167,1.0,0.0,0,0.362,0,MaxLandingWeightReached,,1.238,HAM,7.805,1115,1.122
15/11/2024,15:00:00,520,DTTA,LFPG,0.158,4.616,0.231,7.051,1.0,0.0,0,0.389,0,MaxLandingWeightReached,,1.046,ORY,6.662,887,1.206
23/11/2024,15:00:00,520,DTTA,LFPG,0.158,4.85,0.243,7.353,1.0,0.0,0,0.401,0,MaxLandingWeightReached,,1.102,ORY,6.952,933,1.243
28/10/2024,18:35:00,521,LFPG,DTTA,0.21,4.429,0.221,6.647,1.0,0.0,0,0.431,0,MaxLandingWeightReached,,0.787,NBE,6.216,873,1.336
23/11/2024,18:35:00,521,LFPG,DTTA,0.158,4.147,0.207,6.204,1.0,0.0,0,0.365,0,MaxLandingWeightReached,,0.692,NBE,5.839,842,1.131
16/12/2024,06:30:00,542,DTMB,LFPG,0.084,4.569,0.228,6.633,1.0,0.0,0,0.312,0,MaxLandingWeightReached,,0.752,ORY,6.321,969,0.967
26/10/2024,07:00:00,722,DTTA,LFRS,0.158,4.338,0.217,7.468,1.0,0.0,0,0.375,0,MaxLandingWeightReached,,1.755,CDG,7.093,828,1.163
05/11/2024,07:40:00,844,DTTA,EGKK,0.158,5.086,0.254,7.437,1.0,0.0,0,0.412,0,MaxLandingWeightReached,,0.939,STN,7.025,984,1.277
14/12/2024,07:20:00,844,DTTA,EGKK,0.095,4.585,0.229,6.732,1.0,0.0,0,0.324,0,TankCapacityReached,,0.823,STN,6.408,1047,1.004
16/11/2024,11:20:00,845,EGKK,DTTA,0.263,4.895,0.245,7.057,1.0,0.0,0,0.508,0,MaxLandingWeightReached,,0.654,NBE,6.549,1052,1.575
03/12/2024,11:45:00,845,EGKK,DTTA,0.158,4.468,0.223,6.481,1.0,0.0,0,0.381,0,MaxLandingWeightReached,,0.632,NBE,6.1,965,1.181
03/12/2024,14:15:00,184,DTTA,LSGG,0.095,3.628,0.2,6.132,1.0,0.0,0,0.295,0,MaxLandingWeightReached,,1.209,LYS,5.837,701,0.914
21/12/2024,06:45:00,206,DTTA,EDDL,0.095,4.817,0.241,7.085,1.0,0.0,0,0.336,0,MaxLandingWeightReached,,0.932,CGN,6.749,1010,1.042
20/12/2024,06:55:00,234,DTTA,EDDF,0.095,4.301,0.215,6.67,1.0,0.0,0,0.31,0,MaxLandingWeightReached,,1.059,CGN,6.36,928,0.961
29/11/2024,10:20:00,235,EDDF,DTTA,0.105,3.921,0.2,12.267,1.0,6.383,0,0.305,0,price,price,0.658,NBE,11.962,742,0.945
29/11/2024,14:30:00,396,DTTA,EBBR,0.158,5.39,0.27,7.688,1.0,0.0,0,0.428,0,MaxLandingWeightReached,,0.87,LIL,7.26,1053,1.327
18/12/2024,14:00:00,396,DTTA,EBBR,0.095,4.937,0.247,7.032,1.0,0.0,0,0.342,0,MaxLandingWeightReached,,0.753,LGG,6.69,1010,1.06
08/12/2024,18:15:00,397,EBBR,DTTA,0.137,4.938,0.247,8.196,1.0,1.184,0,0.384,0,price,price,0.69,NBE,7.812,944,1.19
30/11/2024,06:30:00,510,DTTA,LFPG,0.158,4.768,0.238,7.208,1.0,0.0,0,0.396,0,MaxLandingWeightReached,,1.044,ORY,6.812,940,1.228
09/12/2024,06:30:00,510,DTTA,LFPG,0.095,4.339,0.217,6.59,1.0,0.0,0,0.312,0,MaxLandingWeightReached,,0.939,ORY,6.278,885,0.967
30/11/2024,10:05:00,511,LFPG,DTTA,0.158,4.343,0.217,6.405,1.0,0.0,0,0.375,0,MaxLandingWeightReached,,0.687,NBE,6.03,830,1.163
17/11/2024,07:00:00,640,DTTA,LTFM,0.158,4.863,0.243,7.274,1.0,0.0,0,0.401,0,MaxLandingWeightReached,,1.01,TEQ,6.873,998,1.243
19/11/2024,06:00:00,640,DTTA,LTFM,0.158,4.701,0.235,7.242,1.0,0.0,0,0.393,0,MaxLandingWeightReached,,1.148,TEQ,6.849,946,1.218
22/11/2024,06:00:00,640,DTTA,LTFM,0.158,4.413,0.221,6.976,1.0,0.0,0,0.379,0,MaxLandingWeightReached,,1.184,TEQ,6.597,909,1.175
17/11/2024,10:45:00,641,LTFM,DTTA,0.263,4.811,0.241,7.002,1.0,0.0,0,0.504,0,MaxLandingWeightReached,,0.687,NBE,6.498,962,1.562
24/11/2024,10:45:00,641,LTFM,DTTA,0.263,4.687,0.234,6.889,1.0,0.0,0,0.497,0,MaxLandingWeightReached,,0.705,NBE,6.392,957,1.541
30/12/2024,13:30:00,776,DTTA,LFST,0.095,4.066,0.203,6.285,1.0,0.0,0,0.298,0,price,price,0.921,BSL,5.987,803,0.924
21/08/2024,06:00:00,204,DTTA,EDDL,0.115,6.242,0.312,8.962,1.2,0.0,0,0.427,0,MaxLandingWeightReached,,1.093,MST,8.535,982,1.324
21/08/2024,09:40:00,205,EDDL,DTTA,0.205,5.231,0.262,7.643,1.2,0.0,0,0.467,0,TankCapacityReached,,0.745,NBE,7.176,937,1.448
29/09/2024,09:10:00,205,EDDL,DTTA,0.205,5.315,0.266,7.803,1.2,0.0,0,0.471,0,MaxLandingWeightReached,,0.817,NBE,7.332,829,1.46
23/11/2024,10:55:00,215,EDDL,DTMB,0.205,5.956,0.298,8.546,1.2,0.0,0,0.503,0,MaxLandingWeightReached,,0.887,NBE,8.043,946,1.559
08/11/2024,13:15:00,2598,DTMB,EDDV,0.102,6.436,0.322,9.488,1.2,0.0,0,0.424,0,MaxLandingWeightReached,,1.428,HAM,9.064,1030,1.314
05/10/2024,11:45:00,2636,DTMB,EDDF,0.102,6.728,0.336,9.67,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.304,CGN,9.232,1055,1.358
28/04/2024,09:50:00,397,EBBR,DTTA,0.166,6.357,0.318,10.595,1.2,1.5,0,0.484,0,price,price,1.054,NBE,10.111,997,1.5
01/12/2024,14:30:00,542,DTMB,LFPG,0.102,6.406,0.32,9.304,1.2,0.0,0,0.422,0,MaxLandingWeightReached,,1.276,ORY,8.882,1005,1.308
15/12/2024,16:00:00,588,DTTJ,LFML,0.115,4.599,0.23,7.637,1.2,0.0,0,0.345,0,MaxLandingWeightReached,,1.493,NCE,7.292,720,1.069
23/11/2024,14:30:00,594,DTMB,LFMN,0.102,3.65,0.2,6.786,1.2,0.0,0,0.302,0,MaxLandingWeightReached,,1.634,MRS,6.484,580,0.936
23/11/2024,17:05:00,595,LFMN,DTMB,0.102,3.458,0.2,5.822,1.2,0.0,0,0.302,0,MaxLandingWeightReached,,0.862,NBE,5.52,517,0.936
24/12/2024,14:00:00,598,DTTA,LFLL,0.115,4.315,0.216,7.048,1.2,0.0,0,0.331,0,MaxLandingWeightReached,,1.202,GVA,6.717,699,1.026
09/12/2024,06:00:00,640,DTTA,LTFM,0.115,5.11,0.256,8.08,1.2,0.0,0,0.371,0,MaxLandingWeightReached,,1.399,TEQ,7.709,876,1.15
16/10/2024,08:45:00,730,DTTJ,LFPG,0.115,5.385,0.269,8.076,1.2,0.0,0,0.384,0,TankCapacityReached,,1.107,ORY,7.692,1045,1.19
29/12/2024,02:00:00,774,DTTJ,LFQQ,0.115,5.835,0.292,8.4,1.2,0.0,0,0.407,0,TankCapacityReached,,0.958,BRU,7.993,1135,1.262
30/05/2024,15:30:00,844,DTTA,EGKK,0.115,6.747,0.337,9.53,1.2,0.0,0,0.452,0,MaxLandingWeightReached,,1.131,STN,9.078,1071,1.401
