Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-08-04,01:00:00,7470,DTMB,EPKT,0.099,6.086,0.304,9.34,1.2,0.0,0,0.403,0,MaxLandingWeightReached,,1.651,POZ,8.937,1001,1.249,DTMB -> EPKT,,,,,,,,,,,,,,
2024-10-12,20:40:00,779,LFQQ,DTMB,0.112,5.844,0.292,8.286,1.2,0.0,0,0.404,0,MaxLandingWeightReached,,0.838,NBE,7.882,1016,1.252,LFQQ -> DTMB,,,,,,,,,,,,,,
2024-11-24,09:30:00,1000,DAAG,LFPG,0.126,5.225,0.261,9.476,1.2,0.0,0,0.387,0,MaxLandingWeightReached,,2.664,LYS,9.089,783,1.2,DAAG -> LFPG,,,,,,,,,,,,,,
2024-12-15,13:30:00,1001,LFPG,DAAG,0.189,4.82,0.241,8.526,1.2,0.0,0,0.43,0,price,price,2.076,ORN,8.096,734,1.333,LFPG -> DAAG,,,,,,,,,,,,,,
2024-12-10,10:40:00,1074,DAAG,LFQQ,0.126,5.341,0.267,8.365,1.2,0.0,0,0.393,0,MaxLandingWeightReached,,1.431,CDG,7.972,896,1.218,DAAG -> LFQQ,,,,,,,,,,,,,,
2024-12-21,01:25:00,6232,DAAT,DAAJ,0.126,2.123,0.2,6.047,1.2,0.0,0,0.326,0,MaxLandingWeightReached,,2.398,TMR,5.721,270,1.011,DAAT -> DAAJ,,,,,,,,,,,,,,
2024-11-15,14:00:00,002,DTMB,LFPG,0.101,6.477,0.324,9.256,1.2,0.0,0,0.425,0,MaxLandingWeightReached,,1.154,ORY,8.831,1128,1.318,DTMB -> LFPG,,,,,,,,,,,,,,
2024-10-07,16:40:00,2023,EDDL,DTTJ,0.201,7.487,0.374,10.835,1.2,0.0,0,0.575,0,MaxLandingWeightReached,,1.573,MIR,10.26,1175,1.783,EDDL -> DTTJ,,,,,,,,,,,,,,
2024-10-29,02:30:00,2210,DTMB,EDDP,0.113,6.957,0.348,12.811,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,1.293,BER,12.35,1044,1.429,DTMB -> EDDP,,,,,,,,,,,,,,
2024-05-24,13:00:00,232,DTTA,EDDB,0.113,5.805,0.29,8.688,1.2,0.0,0,0.403,0,MaxLandingWeightReached,,1.28,DRS,8.285,982,1.249,DTTA -> EDDB,,,,,,,,,,,,,,
2024-04-24,13:50:00,233,EDDB,DTTA,0.189,5.889,0.294,8.322,1.2,0.0,0,0.483,0,TankCapacityReached,,0.75,NBE,7.839,1012,1.497,EDDB -> DTTA,,,,,,,,,,,,,,
2024-08-29,00:15:00,4529,LTAI,DTTA,0.189,7.068,0.353,9.654,1.2,0.0,0,0.542,0,MaxLandingWeightReached,,0.844,NBE,9.112,1104,1.68,LTAI -> DTTA,,,,,,,,,,,,,,
2024-11-15,14:30:00,542,DTMB,LFPG,0.101,6.135,0.307,8.964,1.2,0.0,0,0.408,0,MaxLandingWeightReached,,1.221,ORY,8.556,965,1.265,DTMB -> LFPG,,,,,,,,,,,,,,
2024-08-26,19:50:00,624,DTTA,LEMD,0.113,5.309,0.265,8.481,1.2,0.0,0,0.378,0,MaxLandingWeightReached,,1.594,VLC,8.103,780,1.172,DTTA -> LEMD,,,,,,,,,,,,,,
2024-04-28,07:50:00,641,LTFM,DTTA,0.314,6.63,0.332,9.579,1.2,0.0,0,0.646,0,MaxLandingWeightReached,,1.103,NBE,8.933,1002,2.003,LTFM -> DTTA,,,,,,,,,,,,,,
2024-10-09,13:45:00,713,LFST,DTTJ,0.088,5.875,0.294,8.439,1.2,0.0,0,0.382,0,MaxLandingWeightReached,,0.982,SFA,8.057,943,1.184,LFST -> DTTJ,,,,,,,,,,,,,,
2024-04-27,14:30:00,757,LFQQ,DTTA,0.113,6.779,0.339,9.299,1.2,0.0,0,0.452,0,MaxLandingWeightReached,,0.868,NBE,8.847,1043,1.401,LFQQ -> DTTA,,,,,,,,,,,,,,
2024-10-06,16:55:00,763,LFQQ,DTTJ,0.113,7.373,0.369,10.647,1.2,0.0,0,0.482,0,MaxLandingWeightReached,,1.592,MIR,10.165,1150,1.494,LFQQ -> DTTJ,,,,,,,,,,,,,,
2024-12-08,06:00:00,204,DTTA,EDDL,0.095,4.559,0.228,6.927,1.0,0.0,0,0.323,0,MaxLandingWeightReached,,1.045,CGN,6.604,935,1.001,DTTA -> EDDL,,,,,,,,,,,,,,
2024-12-25,13:15:00,204,DTTA,EDDL,0.095,4.908,0.245,7.224,1.0,0.0,0,0.34,0,MaxLandingWeightReached,,0.976,CGN,6.884,1026,1.054,DTTA -> EDDL,,,,,,,,,,,,,,
2024-12-02,07:30:00,232,DTTA,EDDB,0.158,4.841,0.242,7.605,1.0,0.0,0,0.4,0,MaxLandingWeightReached,,1.364,HAJ,7.205,996,1.24,DTTA -> EDDB,,,,,,,,,,,,,,
2024-12-23,07:30:00,232,DTTA,EDDB,0.095,4.896,0.245,7.261,1.0,0.0,0,0.34,0,MaxLandingWeightReached,,1.025,DRS,6.921,1013,1.054,DTTA -> EDDB,,,,,,,,,,,,,,
2024-12-20,13:15:00,2598,DTMB,EDDV,0.084,5.567,0.278,8.167,1.0,0.0,0,0.362,0,MaxLandingWeightReached,,1.238,HAM,7.805,1115,1.122,DTMB -> EDDV,,,,,,,,,,,,,,
2024-11-15,15:00:00,520,DTTA,LFPG,0.158,4.616,0.231,7.051,1.0,0.0,0,0.389,0,MaxLandingWeightReached,,1.046,ORY,6.662,887,1.206,DTTA -> LFPG,,,,,,,,,,,,,,
2024-11-23,15:00:00,520,DTTA,LFPG,0.158,4.85,0.243,7.353,1.0,0.0,0,0.401,0,MaxLandingWeightReached,,1.102,ORY,6.952,933,1.243,DTTA -> LFPG,,,,,,,,,,,,,,
2024-10-28,18:35:00,521,LFPG,DTTA,0.21,4.429,0.221,6.647,1.0,0.0,0,0.431,0,MaxLandingWeightReached,,0.787,NBE,6.216,873,1.336,LFPG -> DTTA,,,,,,,,,,,,,,
2024-11-23,18:35:00,521,LFPG,DTTA,0.158,4.147,0.207,6.204,1.0,0.0,0,0.365,0,MaxLandingWeightReached,,0.692,NBE,5.839,842,1.131,LFPG -> DTTA,,,,,,,,,,,,,,
2024-12-16,06:30:00,542,DTMB,LFPG,0.084,4.569,0.228,6.633,1.0,0.0,0,0.312,0,MaxLandingWeightReached,,0.752,ORY,6.321,969,0.967,DTMB -> LFPG,,,,,,,,,,,,,,
2024-10-26,07:00:00,722,DTTA,LFRS,0.158,4.338,0.217,7.468,1.0,0.0,0,0.375,0,MaxLandingWeightReached,,1.755,CDG,7.093,828,1.163,DTTA -> LFRS,,,,,,,,,,,,,,
2024-11-05,07:40:00,844,DTTA,EGKK,0.158,5.086,0.254,7.437,1.0,0.0,0,0.412,0,MaxLandingWeightReached,,0.939,STN,7.025,984,1.277,DTTA -> EGKK,,,,,,,,,,,,,,
2024-12-14,07:20:00,844,DTTA,EGKK,0.095,4.585,0.229,6.732,1.0,0.0,0,0.324,0,TankCapacityReached,,0.823,STN,6.408,1047,1.004,DTTA -> EGKK,,,,,,,,,,,,,,
2024-11-16,11:20:00,845,EGKK,DTTA,0.263,4.895,0.245,7.057,1.0,0.0,0,0.508,0,MaxLandingWeightReached,,0.654,NBE,6.549,1052,1.575,EGKK -> DTTA,,,,,,,,,,,,,,
2024-12-03,11:45:00,845,EGKK,DTTA,0.158,4.468,0.223,6.481,1.0,0.0,0,0.381,0,MaxLandingWeightReached,,0.632,NBE,6.1,965,1.181,EGKK -> DTTA,,,,,,,,,,,,,,
