Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
10/07/2020,EAC,7632,BJ,320,C,DTTJ,2020-07-10 17:05:00,EPKT,2020-07-10 19:55:00,10600,0.779999971389771,11448,3900
10/07/2020,EAC,7633,BJ,320,C,EPKT,2020-07-10 21:25:00,DTTJ,2020-07-11 00:10:00,8516,0.791999995708466,10645,3800
11/07/2020,EAC,7654,BJ,320,C,DTTJ,2020-07-11 03:20:00,EPKT,2020-07-11 06:10:00,9250,0.779999971389771,11015,3600
11/07/2020,EAC,7655,BJ,320,C,EPKT,2020-07-11 06:58:00,DTTJ,2020-07-11 09:52:00,8683,0.791700005531311,10474,3440
11/07/2020,EAC,134,BJ,320,J,DTTJ,2020-07-11 10:55:00,LFSB,2020-07-11 13:20:00,8000,0.779999971389771,9680,4100
11/07/2020,EAC,135,BJ,320,J,LFSB,2020-07-11 14:40:00,DTTJ,2020-07-11 17:10:00,6868,0.788999974727631,9519,3600
11/07/2020,EAC,770,BJ,320,J,DTTJ,2020-07-11 18:10:00,LFBD,2020-07-11 20:45:00,7940,0.779999971389771,9793,4000
11/07/2020,EAC,771,BJ,320,J,LFBD,2020-07-11 21:49:00,DTTJ,2020-07-12 00:03:00,6063,0.795000016689301,8820,3400
12/07/2020,EAC,2608,BJ,320,J,DTTJ,2020-07-12 04:45:00,EDDF,2020-07-12 07:30:00,8592,0.781000018119812,10110,3840
12/07/2020,EAC,2609,BJ,320,J,EDDF,2020-07-12 10:05:00,DTTJ,2020-07-12 12:44:00,7698,0.799000024795532,9991,3160
12/07/2020,EAC,384,BJ,320,J,DTTJ,2020-07-12 14:45:00,EBBR,2020-07-12 17:35:00,9300,0.800000011920929,10600,3200
12/07/2020,EAC,385,BJ,320,J,EBBR,2020-07-12 19:15:00,DTTJ,2020-07-12 21:50:00,11675,0.800000011920929,12540,5100
13/07/2020,EAC,7646,BJ,320,C,DTTJ,2020-07-13 02:25:00,EPWA,2020-07-13 05:26:00,8750,0.779999971389771,11925,4200
13/07/2020,EAC,7647,BJ,320,C,EPWA,2020-07-13 06:50:00,DTTJ,2020-07-13 10:10:00,9268,0.792999982833862,11550,3400
13/07/2020,EAC,736,BJ,320,J,DTTJ,2020-07-13 11:10:00,LFRS,2020-07-13 14:00:00,9260,0.779999971389771,10623,3820
13/07/2020,EAC,737,BJ,320,J,LFRS,2020-07-13 15:00:00,DTTJ,2020-07-13 17:35:00,8348,0.800000011920929,10498,3920
13/07/2020,EAC,574,BJ,320,J,DTTJ,2020-07-13 18:30:00,LFLL,2020-07-13 20:40:00,6230,0.776000022888184,8754,3700
13/07/2020,EAC,575,BJ,320,J,LFLL,2020-07-13 21:55:00,DTTJ,2020-07-14 00:10:00,6184,0.787999987602234,8573,3600
14/07/2020,EAC,2046,BJ,320,J,DTTJ,2020-07-14 04:40:00,EDDF,2020-07-14 07:35:00,8800,0.779999971389771,10464,3400
14/07/2020,EAC,2047,BJ,320,J,EDDF,2020-07-14 09:35:00,DTTJ,2020-07-14 12:11:00,8862,0.795000016689301,10445,3440
14/07/2020,EAC,2022,BJ,320,J,DTTJ,2020-07-14 13:10:00,EDDL,2020-07-14 16:10:00,10493,0.777999997138977,11604,3840
14/07/2020,EAC,2023,BJ,320,J,EDDL,2020-07-14 17:00:00,DTTJ,2020-07-14 20:00:00,9567,0.801999986171722,11513,3960
15/07/2020,EAC,7614,BJ,320,C,DTTJ,2020-07-15 02:20:00,EPKT,2020-07-15 05:05:00,8500,0.781000018119812,10599,3600
15/07/2020,EAC,7615,BJ,320,C,EPKT,2020-07-15 06:25:00,DTTJ,2020-07-15 09:30:00,8703,0.790499985218048,10480,2900
15/07/2020,EAC,2344,BJ,320,C,DTTJ,2020-07-15 13:05:00,EDDL,2020-07-15 16:04:00,9950,0.778999984264374,10651,3040
15/07/2020,EAC,2345,BJ,320,C,EDDL,2020-07-15 17:00:00,DTTJ,2020-07-15 19:50:00,9583,0.800000011920929,10706,3620
16/07/2020,EAC,702,BJ,320,J,DTTJ,2020-07-16 02:30:00,,2020-07-16 05:25:00,9500,0.779999971389771,11030,4900
16/07/2020,EAC,703,BJ,320,J,,2020-07-16 06:10:00,DTTJ,2020-07-16 09:00:00,5997,0.800000011920929,9698,3200
16/07/2020,EAC,736,BJ,320,J,DTTJ,2020-07-16 10:00:00,LFRS,2020-07-16 12:40:00,8900,0.777999997138977,10124,3600
16/07/2020,EAC,737,BJ,320,J,LFRS,2020-07-16 13:55:00,DTTJ,2020-07-16 16:26:00,7640,0.796000003814697,9681,3640
17/07/2020,EAC,7630,BJ,320,C,DTTJ,2020-07-17 01:50:00,EPPO,2020-07-17 04:55:00,9850,0.781000018119812,11333,3760
17/07/2020,EAC,7631,BJ,320,C,EPPO,2020-07-17 06:00:00,DTTJ,2020-07-17 09:00:00,9075,0.792999982833862,10956,3540
17/07/2020,EAC,702,BJ,320,J,DTTJ,2020-07-17 10:50:00,,2020-07-17 13:35:00,10500,0.779999971389771,11730,4200
17/07/2020,EAC,703,BJ,320,J,,2020-07-17 14:45:00,DTTJ,2020-07-17 17:15:00,7500,0.790000021457672,10125,3300
17/07/2020,EAC,3382,BJ,320,P,DTTJ,2020-07-17 18:14:00,LFLL,2020-07-17 20:30:00,6100,0.77700001001358,8040,3320
17/07/2020,EAC,3383,BJ,320,C,LFLL,2020-07-17 21:28:00,DTTJ,2020-07-17 23:38:00,6331,0.781000018119812,8265,3100
