"Date of operation (UTC)","AC registration","Flight ID","ICAO Call sign","AC Type","Flight type","Departing Airport ICAO Code","Departure Time/ Block-off time (UTC)","Destination Airport ICAO Code","Arrival Time/ Block-on Time(UTC)","Uplift Volume (Litres)","Uplift density","Block On (tonnes)","Block Off (tonnes)","UpdatedAt"
"01/07/2020","EAC","0771","BJ",320,"J","LFBD",44013.89930555555,"DTTJ",44013.99652777778,6499,0.791999995708466,9067,3820,"2025-05-01T17:00:00.126Z"
"02/07/2020","EAC","0702","BJ",320,"J","DTTJ",44014.09375,"",44014.21875,9200,0.779999971389771,10996,4680,"2025-05-01T17:00:00.126Z"
"02/07/2020","EAC","0703","BJ",320,"J","",44014.26388888889,"DTTJ",44014.37152777778,7235,0.791000008583069,10403,4120,"2025-05-01T17:00:00.126Z"
"02/07/2020","EAC","0736","BJ",320,"J","DTTJ",44014.45138888889,"LFRS",44014.57638888889,9740,0.779999971389771,11717,4200,"2025-05-01T17:00:00.126Z"
"02/07/2020","EAC","0737","BJ",320,"J","LFRS",44014.61111111111,"DTTJ",44014.71180555555,6843,0.792999982833862,9626,3460,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","7666","BJ",320,"C","DTTJ",44015.05902777778,"EPWA",44015.19791666666,11700,0.779999971389771,12586,4080,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","7667","BJ",320,"C","EPWA",44015.26388888889,"DTTJ",44015.38888888889,8310,0.790000021457672,10645,3280,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","0574","BJ",320,"J","DTTJ",44015.44097222222,"LFLL",44015.53888888889,8650,0.778999984264374,10018,4420,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","0575","BJ",320,"J","LFLL",44015.58680555555,"DTTJ",44015.67847222222,5918,0.790000021457672,9095,3800,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","7632","BJ",320,"C","DTTJ",44015.71527777778,"EPKT",44015.84722222222,10610,0.800000011920929,12288,4080,"2025-05-01T17:00:00.126Z"
"03/07/2020","EAC","7633","BJ",320,"C","EPKT",44015.88194444445,"DTTJ",44016,7959,0.794200003147125,10401,3500,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","7654","BJ",320,"C","DTTJ",44016.11736111111,"EPKT",44016.24097222222,9250,0.779999971389771,10715,3340,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","7655","BJ",320,"C","EPKT",44016.27847222222,"DTTJ",44016.39583333334,8741,0.796000003814697,10298,3240,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","0134","BJ",320,"J","DTTJ",44016.44444444445,"LFSB",44016.54861111111,7250,0.777999997138977,8881,3600,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","0135","BJ",320,"J","LFSB",44016.59375,"DTTJ",44016.70138888889,6779,0.800000011920929,9023,3300,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","0770","BJ",320,"J","DTTJ",44016.73958333334,"LFBD",44016.84375,7800,0.777999997138977,9368,4000,"2025-05-01T17:00:00.126Z"
"04/07/2020","EAC","0771","BJ",320,"J","LFBD",44016.90069444444,"DTTJ",44016.99375,6156,0.800000011920929,8925,3440,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0554","BJ",320,"J","DTTJ",44017.25694444445,"",44017.37847222222,9332,0.779999971389771,10719,4520,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0555","BJ",320,"J","",44017.41319444445,"DTTJ",44017.53819444445,6911,0.791999995708466,9994,3380,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0508","BJ",320,"J","DTTJ",44017.58680555555,"",44017.70416666667,9750,0.778999984264374,10975,4420,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0509","BJ",320,"J","",44017.75902777778,"DTTJ",44017.87777777778,7706,0.790000021457672,10508,3500,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","7646","BJ",320,"C","DTTJ",44018.10416666666,"EPWA",44018.22569444445,11000,0.779999971389771,12080,4480,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","7647","BJ",320,"C","EPWA",44018.28125,"DTTJ",44018.42013888889,9503,0.792999982833862,12016,2740,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0736","BJ",320,"R","DTTJ",44018.46111111111,"DTTJ",44018.47569444445,11194,0.77700001001358,11438,11200,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0737","BJ",320,"J","LFRS",44018.74722222222,"DTTJ",44018.85,7666,0.800000011920929,10133,3880,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0588","BJ",320,"J","DTTJ",44018.88541666666,"LFML",44018.96319444444,12050,0.778999984264374,13267,4767,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0589","BJ",320,"J","LFML",44018.99305555555,"DTTJ",44019.07222222222,8500,0.800000011920929,11567,4000,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2046","BJ",320,"J","DTTJ",44019.18333333333,"EDDF",44019.30069444444,10850,0.782000005245209,12485,5580,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2047","BJ",320,"J","EDDF",44019.38194444445,"DTTJ",44019.49722222222,5460,0.797999978065491,9937,3100,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2022","BJ",320,"J","DTTJ",44019.54375,"EDDL",44019.66458333333,10000,0.777999997138977,10880,3700,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2023","BJ",320,"J","EDDL",44019.70833333334,"DTTJ",44019.82986111111,9695,0.77700001001358,11233,3980,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","0740","BJ",320,"J","DTTJ",44020.15486111111,"LFBO",44020.24791666667,5850,0.781000018119812,8549,3360,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","0741","BJ",320,"J","LFBO",44020.28819444445,"DTTJ",44020.37152777778,6552,0.790000021457672,8536,3780,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","2344","BJ",320,"C","DTTJ",44020.52013888889,"EDDL",44020.64236111111,9000,0.778999984264374,10791,3800,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","2345","BJ",320,"C","EDDL",44020.7,"DTTJ",44020.81944444445,8705,0.806999981403351,10825,3400,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0554","BJ",320,"J","DTTJ",44021.24930555555,"",44021.37222222222,18700,0.779999971389771,17986,10500,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0555","BJ",320,"J","",44021.43402777778,"DTTJ",44021.54513888889,0,0.800000011920929,10500,3800,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0508","BJ",320,"J","DTTJ",44021.59861111111,"",44021.72291666667,18900,0.779999971389771,18542,10960,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0509","BJ",320,"J","",44021.78472222222,"DTTJ",44021.90277777778,0,0.800000011920929,10960,3820,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7666","BJ",320,"C","DTTJ",44022.05277777778,"EPWA",44022.19166666667,11350,0.779999971389771,12673,4300,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7667","BJ",320,"C","EPWA",44022.26111111111,"DTTJ",44022.39652777778,8473,0.790000021457672,10994,2960,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","0574","BJ",320,"J","DTTJ",44022.4375,"LFLL",44022.52777777778,7500,0.778999984264374,8803,3420,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","0575","BJ",320,"J","LFLL",44022.57361111111,"DTTJ",44022.66180555556,6233,0.783999979496002,8307,3180,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7632","BJ",320,"C","DTTJ",44022.71180555555,"EPKT",44022.82986111111,10600,0.779999971389771,11448,3900,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7633","BJ",320,"C","EPKT",44022.89236111111,"DTTJ",44023.00694444445,8516,0.791999995708466,10645,3800,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","7654","BJ",320,"C","DTTJ",44023.13888888889,"EPKT",44023.25694444445,9250,0.779999971389771,11015,3600,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","7655","BJ",320,"C","EPKT",44023.29027777778,"DTTJ",44023.41111111111,8683,0.791700005531311,10474,3440,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0134","BJ",320,"J","DTTJ",44023.45486111111,"LFSB",44023.55555555555,8000,0.779999971389771,9680,4100,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0135","BJ",320,"J","LFSB",44023.61111111111,"DTTJ",44023.71527777778,6868,0.788999974727631,9519,3600,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0770","BJ",320,"J","DTTJ",44023.75694444445,"LFBD",44023.86458333334,7940,0.779999971389771,9793,4000,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0771","BJ",320,"J","LFBD",44023.90902777778,"DTTJ",44024.00208333333,6063,0.795000016689301,8820,3400,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","2608","BJ",320,"J","DTTJ",44024.19791666666,"EDDF",44024.3125,8592,0.781000018119812,10110,3840,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","2609","BJ",320,"J","EDDF",44024.42013888889,"DTTJ",44024.53055555555,7698,0.799000024795532,9991,3160,"2025-05-01T17:00:00.126Z"
